losses_train,losses_val
"tensor(0.6311, dtype=torch.float64)","tensor(0.4331, dtype=torch.float64)"
"tensor(0.3781, dtype=torch.float64)","tensor(0.3811, dtype=torch.float64)"
"tensor(0.3442, dtype=torch.float64)","tensor(0.3514, dtype=torch.float64)"
"tensor(0.3203, dtype=torch.float64)","tensor(0.3344, dtype=torch.float64)"
"tensor(0.3063, dtype=torch.float64)","tensor(0.3272, dtype=torch.float64)"
"tensor(0.2975, dtype=torch.float64)","tensor(0.3151, dtype=torch.float64)"
"tensor(0.2848, dtype=torch.float64)","tensor(0.2995, dtype=torch.float64)"
"tensor(0.2763, dtype=torch.float64)","tensor(0.2956, dtype=torch.float64)"
"tensor(0.2678, dtype=torch.float64)","tensor(0.2860, dtype=torch.float64)"
"tensor(0.2617, dtype=torch.float64)","tensor(0.2720, dtype=torch.float64)"
"tensor(0.2543, dtype=torch.float64)","tensor(0.2638, dtype=torch.float64)"
"tensor(0.2462, dtype=torch.float64)","tensor(0.2644, dtype=torch.float64)"
"tensor(0.2404, dtype=torch.float64)","tensor(0.2553, dtype=torch.float64)"
"tensor(0.2348, dtype=torch.float64)","tensor(0.2494, dtype=torch.float64)"
"tensor(0.2283, dtype=torch.float64)","tensor(0.2447, dtype=torch.float64)"
"tensor(0.2251, dtype=torch.float64)","tensor(0.2408, dtype=torch.float64)"
"tensor(0.2172, dtype=torch.float64)","tensor(0.2349, dtype=torch.float64)"
"tensor(0.2156, dtype=torch.float64)","tensor(0.2253, dtype=torch.float64)"
"tensor(0.2091, dtype=torch.float64)","tensor(0.2215, dtype=torch.float64)"
"tensor(0.2045, dtype=torch.float64)","tensor(0.2190, dtype=torch.float64)"
"tensor(0.1984, dtype=torch.float64)","tensor(0.2168, dtype=torch.float64)"
"tensor(0.1985, dtype=torch.float64)","tensor(0.2097, dtype=torch.float64)"
"tensor(0.1918, dtype=torch.float64)","tensor(0.2056, dtype=torch.float64)"
"tensor(0.1919, dtype=torch.float64)","tensor(0.2065, dtype=torch.float64)"
"tensor(0.1847, dtype=torch.float64)","tensor(0.1992, dtype=torch.float64)"
"tensor(0.1808, dtype=torch.float64)","tensor(0.1976, dtype=torch.float64)"
"tensor(0.1792, dtype=torch.float64)","tensor(0.1939, dtype=torch.float64)"
"tensor(0.1774, dtype=torch.float64)","tensor(0.1996, dtype=torch.float64)"
"tensor(0.1740, dtype=torch.float64)","tensor(0.1916, dtype=torch.float64)"
"tensor(0.1694, dtype=torch.float64)","tensor(0.1864, dtype=torch.float64)"
"tensor(0.1705, dtype=torch.float64)","tensor(0.1861, dtype=torch.float64)"
"tensor(0.1666, dtype=torch.float64)","tensor(0.1852, dtype=torch.float64)"
"tensor(0.1644, dtype=torch.float64)","tensor(0.1820, dtype=torch.float64)"
"tensor(0.1621, dtype=torch.float64)","tensor(0.1865, dtype=torch.float64)"
"tensor(0.1607, dtype=torch.float64)","tensor(0.1762, dtype=torch.float64)"
"tensor(0.1592, dtype=torch.float64)","tensor(0.1796, dtype=torch.float64)"
"tensor(0.1577, dtype=torch.float64)","tensor(0.1703, dtype=torch.float64)"
"tensor(0.1540, dtype=torch.float64)","tensor(0.1741, dtype=torch.float64)"
"tensor(0.1547, dtype=torch.float64)","tensor(0.1704, dtype=torch.float64)"
"tensor(0.1504, dtype=torch.float64)","tensor(0.1653, dtype=torch.float64)"
"tensor(0.1496, dtype=torch.float64)","tensor(0.1643, dtype=torch.float64)"
"tensor(0.1473, dtype=torch.float64)","tensor(0.1631, dtype=torch.float64)"
"tensor(0.1489, dtype=torch.float64)","tensor(0.1578, dtype=torch.float64)"
"tensor(0.1460, dtype=torch.float64)","tensor(0.1626, dtype=torch.float64)"
"tensor(0.1460, dtype=torch.float64)","tensor(0.1559, dtype=torch.float64)"
"tensor(0.1415, dtype=torch.float64)","tensor(0.1624, dtype=torch.float64)"
"tensor(0.1427, dtype=torch.float64)","tensor(0.1523, dtype=torch.float64)"
"tensor(0.1382, dtype=torch.float64)","tensor(0.1517, dtype=torch.float64)"
"tensor(0.1362, dtype=torch.float64)","tensor(0.1478, dtype=torch.float64)"
"tensor(0.1390, dtype=torch.float64)","tensor(0.1503, dtype=torch.float64)"
